WARN  - 2016-02-25 16:19:57.406; org.apache.solr.rest.ManagedResource; No stored data found for /rest/managed
WARN  - 2016-02-25 16:19:57.410; org.apache.solr.rest.ManagedResource; No registered observers for /rest/managed
INFO  - 2016-02-25 16:19:57.414; org.apache.solr.rest.RestManager; Initializing 2 registered ManagedResources
INFO  - 2016-02-25 16:19:57.419; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_stopwords_english.json using file:dir=C:\solr-4.9.1\example\solr\collection1\conf
INFO  - 2016-02-25 16:19:57.439; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_stopwords_english.json using file:dir=C:\solr-4.9.1\example\solr\collection1\conf
INFO  - 2016-02-25 16:19:57.446; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true} for /schema/analysis/stopwords/english
INFO  - 2016-02-25 16:19:57.450; org.apache.solr.rest.schema.analysis.ManagedWordSetResource; Loaded 35 words for /schema/analysis/stopwords/english
INFO  - 2016-02-25 16:19:57.455; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/stopwords/english
INFO  - 2016-02-25 16:19:57.459; org.apache.solr.rest.ManagedResourceStorage; Reading _schema_analysis_synonyms_english.json using file:dir=C:\solr-4.9.1\example\solr\collection1\conf
INFO  - 2016-02-25 16:19:57.473; org.apache.solr.rest.ManagedResourceStorage; Loaded LinkedHashMap at path _schema_analysis_synonyms_english.json using file:dir=C:\solr-4.9.1\example\solr\collection1\conf
INFO  - 2016-02-25 16:19:57.479; org.apache.solr.rest.ManagedResource; Loaded initArgs {ignoreCase=true,format=solr} for /schema/analysis/synonyms/english
INFO  - 2016-02-25 16:19:57.484; org.apache.solr.rest.schema.analysis.ManagedSynonymFilterFactory$SynonymManager; Loaded 3 synonym mappings for /schema/analysis/synonyms/english
INFO  - 2016-02-25 16:19:57.490; org.apache.solr.rest.ManagedResource; Notified 1 observers of /schema/analysis/synonyms/english
INFO  - 2016-02-25 16:19:57.496; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2016-02-25 16:19:57.504; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2016-02-25 16:19:57.518; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2016-02-25 16:19:57.523; org.apache.solr.handler.component.SuggestComponent; Initializing SuggestComponent
INFO  - 2016-02-25 16:19:57.528; org.apache.solr.spelling.suggest.SolrSuggester; init: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2016-02-25 16:19:57.549; org.apache.solr.spelling.suggest.SolrSuggester; Dictionary loaded with params: {name=mySuggester,lookupImpl=FuzzyLookupFactory,dictionaryImpl=DocumentDictionaryFactory,field=cat,weightField=price,suggestAnalyzerFieldType=string}
INFO  - 2016-02-25 16:19:57.556; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: C:\solr-4.9.1\example\solr\collection1\conf\elevate.xml
INFO  - 2016-02-25 16:20:02.100; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2016-02-25 16:20:02.109; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@263a542a[collection1] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2016-02-25 16:20:02.110; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2016-02-25 16:20:02.147; org.apache.solr.servlet.SolrDispatchFilter; user.dir=C:\solr-4.9.1\example
INFO  - 2016-02-25 16:20:02.154; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2016-02-25 16:20:02.200; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2016-02-25 16:20:02.209; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false&event=firstSearcher} hits=0 status=0 QTime=85 
INFO  - 2016-02-25 16:20:02.213; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2016-02-25 16:20:02.215; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2016-02-25 16:20:02.218; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2016-02-25 16:20:02.233; org.apache.solr.handler.component.SuggestComponent$SuggesterListener; Loading suggester index for: mySuggester
INFO  - 2016-02-25 16:20:02.241; org.apache.solr.spelling.suggest.SolrSuggester; reload()
INFO  - 2016-02-25 16:20:02.244; org.apache.solr.spelling.suggest.SolrSuggester; build()
INFO  - 2016-02-25 16:20:02.268; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@263a542a[collection1] main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2016-02-25 16:24:10.435; org.eclipse.jetty.server.Server; Graceful shutdown SocketConnector@0.0.0.0:8983
INFO  - 2016-02-25 16:24:10.443; org.eclipse.jetty.server.Server; Graceful shutdown o.e.j.w.WebAppContext{/solr,file:/C:/solr-4.9.1/example/solr-webapp/webapp/},C:\solr-4.9.1\example/webapps/solr.war
INFO  - 2016-02-25 16:24:11.455; org.apache.solr.core.CoreContainer; Shutting down CoreContainer instance=1117519786
INFO  - 2016-02-25 16:24:11.463; org.apache.solr.core.SolrCore; [collection1]  CLOSING SolrCore org.apache.solr.core.SolrCore@69751434
